proprety_type,surface,bedroom,bathroom,address,city,principale,price_dh
Apartment,130.0,2,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,5045690.0
House,400.0,4,6,"Ménara, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,14032400.0
Apartment,83.0,2,2,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,2580719.0
Apartment,127.0,3,2,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,6219190.0
Apartment,120.0,2,2,"Ménara, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,4367160.0
House,300.0,3,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,10469400.0
Apartment,88.0,2,2,"Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,2915616.0
Apartment,138.0,2,2,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,5441202.0
House,250.0,3,3,"marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,9390000.0
Apartment,65.0,1,1,"Route dAgadir - Essaouira, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,1942265.0
Apartment,110.0,4,3,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,3251380.0
House,500.0,5,5,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,14415500.0
House,490.0,3,2,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,16831500.0
Apartment,87.0,2,1,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,3402396.0
House,450.0,5,3,"IMI OUADDAR, Souss-Massa 80000",Agadir,Souss-Massa,4342050.0
House,350.0,6,3,"Imi Ouaddar, Souss-Massa",Agadir,Souss-Massa,3507350.0
House,190.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6671850.0
Apartment,74.0,2,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,1954118.0
Apartment,80.0,1,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,2109440.0
House,590.01,5,5,Marrakech-Safi,Marrakech,Marrakech-Safi,22151925.45
House,120.77,4,4,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,4603148.55
House,130.06,6,6,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,3297801.36
House,130.06,5,7,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3365692.68
Apartment,128.0,2,1,"Tétouan, Tétouan, Tangier-Tétouan-Al Hoceima",Tétouan,Tanger-Tétouan-Al Hoceïma,1215488.0
Apartment,67.0,2,1,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,2121421.0
House,525.0,5,5,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,15262275.0
House,570.01,4,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,26737459.07
